Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YearlyAverage,MinimumMonthly,MaximumMonthly,Range
1918,183.25,183.20,183.17,183.14,183.22,183.34,183.40,183.43,183.45,183.44,183.46,183.44,183.33,183.14,183.46,0.32
1919,183.38,183.32,183.28,183.31,183.38,183.45,183.48,183.47,183.46,183.42,183.43,183.39,183.40,183.28,183.48,0.20
1920,183.29,183.27,183.28,183.36,183.43,183.52,183.58,183.60,183.54,183.50,183.43,183.36,183.43,183.27,183.60,0.33
1921,183.31,183.22,183.18,183.23,183.35,183.44,183.48,183.50,183.50,183.44,183.35,183.27,183.36,183.18,183.50,0.32
1922,183.17,183.11,183.09,183.15,183.29,183.36,183.45,183.50,183.52,183.45,183.39,183.31,183.32,183.09,183.52,0.43
1923,183.23,183.15,183.12,183.11,183.18,183.21,183.27,183.30,183.32,183.30,183.28,183.22,183.22,183.11,183.32,0.21
1924,183.15,183.07,183.01,183.02,183.05,183.09,183.12,183.20,183.26,183.28,183.20,183.11,183.13,183.01,183.28,0.27
1925,183.02,182.96,182.93,182.94,182.98,183.06,183.12,183.16,183.15,183.10,183.01,182.92,183.03,182.92,183.16,0.24
1926,182.83,182.76,182.74,182.72,182.76,182.85,182.96,183.02,183.12,183.19,183.18,183.19,182.94,182.72,183.19,0.47
1927,183.12,183.08,183.07,183.12,183.27,183.39,183.50,183.52,183.50,183.49,183.44,183.38,183.32,183.07,183.52,0.45
1928,183.31,183.24,183.20,183.25,183.36,183.44,183.56,183.62,183.69,183.74,183.68,183.57,183.47,183.20,183.74,0.54
1929,183.46,183.42,183.44,183.47,183.47,183.51,183.57,183.56,183.56,183.55,183.52,183.44,183.50,183.42,183.57,0.15
1930,183.37,183.34,183.30,183.28,183.39,183.48,183.58,183.58,183.53,183.53,183.47,183.42,183.44,183.28,183.58,0.30
1931,183.33,183.25,183.18,183.16,183.22,183.30,183.39,183.41,183.40,183.42,183.43,183.42,183.33,183.16,183.43,0.27
1932,183.37,183.34,183.30,183.28,183.38,183.45,183.52,183.58,183.58,183.48,183.45,183.38,183.43,183.28,183.58,0.30
1933,183.32,183.28,183.24,183.28,183.43,183.52,183.56,183.57,183.57,183.57,183.53,183.47,183.44,183.24,183.57,0.33
1934,183.42,183.37,183.34,183.36,183.47,183.55,183.58,183.55,183.58,183.61,183.59,183.55,183.50,183.34,183.61,0.27
1935,183.47,183.42,183.40,183.40,183.47,183.53,183.62,183.65,183.63,183.57,183.52,183.44,183.51,183.40,183.65,0.25
1936,183.39,183.34,183.33,183.35,183.51,183.59,183.59,183.57,183.57,183.51,183.43,183.33,183.46,183.33,183.59,0.26
1937,183.31,183.29,183.27,183.27,183.42,183.50,183.54,183.60,183.61,183.58,183.57,183.49,183.45,183.27,183.61,0.34
1938,183.42,183.38,183.35,183.43,183.62,183.72,183.73,183.72,183.69,183.61,183.57,183.49,183.56,183.35,183.73,0.38
1939,183.46,183.43,183.40,183.42,183.52,183.66,183.75,183.75,183.71,183.62,183.51,183.43,183.56,183.40,183.75,0.35
1940,183.33,183.25,183.18,183.16,183.28,183.45,183.53,183.55,183.53,183.48,183.46,183.39,183.38,183.16,183.55,0.39
1941,183.32,183.25,183.18,183.21,183.34,183.44,183.49,183.52,183.61,183.71,183.66,183.57,183.44,183.18,183.71,0.53
1942,183.48,183.41,183.38,183.38,183.51,183.59,183.61,183.62,183.65,183.64,183.65,183.60,183.54,183.38,183.65,0.27
1943,183.53,183.49,183.45,183.44,183.56,183.73,183.80,183.80,183.75,183.67,183.59,183.48,183.61,183.44,183.80,0.36
1944,183.36,183.28,183.24,183.23,183.38,183.55,183.66,183.76,183.78,183.70,183.62,183.52,183.51,183.23,183.78,0.55
1945,183.42,183.38,183.38,183.51,183.53,183.56,183.63,183.65,183.70,183.64,183.58,183.52,183.54,183.38,183.70,0.32
1946,183.45,183.40,183.36,183.42,183.45,183.52,183.60,183.61,183.62,183.62,183.63,183.57,183.52,183.36,183.63,0.27
1947,183.47,183.38,183.32,183.36,183.49,183.67,183.75,183.74,183.73,183.66,183.57,183.46,183.55,183.32,183.75,0.43
1948,183.37,183.27,183.21,183.27,183.40,183.42,183.46,183.51,183.53,183.45,183.43,183.40,183.39,183.21,183.53,0.32
1949,183.33,183.28,183.22,183.24,183.36,183.44,183.57,183.64,183.60,183.60,183.56,183.48,183.44,183.22,183.64,0.42
1950,183.42,183.37,183.33,183.37,183.57,183.74,183.82,183.86,183.83,183.82,183.77,183.69,183.63,183.33,183.86,0.53
1951,183.57,183.51,183.52,183.59,183.71,183.75,183.80,183.80,183.83,183.84,183.79,183.70,183.70,183.51,183.84,0.33
1952,183.63,183.56,183.50,183.52,183.58,183.62,183.77,183.86,183.82,183.67,183.52,183.46,183.63,183.46,183.86,0.40
1953,183.37,183.32,183.28,183.33,183.40,183.57,183.69,183.72,183.67,183.57,183.45,183.40,183.48,183.28,183.72,0.44
1954,183.31,183.25,183.20,183.22,183.44,183.57,183.62,183.59,183.52,183.47,183.41,183.33,183.41,183.20,183.62,0.42
1955,183.24,183.17,183.16,183.21,183.30,183.37,183.39,183.47,183.45,183.49,183.47,183.40,183.34,183.16,183.49,0.33
